,Animal,Prod. Mínima - 1º Lact.,Prod. média - 1º Lact.,Prod. máxima - 1º Lact.,Prod. Mínima - 2º Lact.,Prod. média - 2º Lact.,Prod. máxima - 2º Lact.,Prod. Mínima - 3º+ Lact.,Prod. média - 3º+ Lact.,Prod. máxima - 3º+ Lact.
0,1502,25.2,38.97777777777778,44.8,9.4,36.53636363636363,54.2,18.399,44.99394736842105,58.9
1,1503,28.0,38.269999999999996,47.3,46.3,54.71999999999999,63.0,33.0,51.780421052631574,64.0
2,1507,30.0,41.1375,50.8,31.2,47.83076923076924,59.4,16.6,41.47045000000001,59.2
3,1511,27.5,35.1125,41.8,33.5,46.58888888888888,57.0,16.799,42.42171428571429,63.4
4,1512,26.4,32.574999999999996,37.4,32.4,39.7375,46.4,26.0,37.2094,47.7
5,1517,23.7,27.21,29.6,18.8,29.99,41.0,20.799,33.3365,46.799
6,1527,30.6,39.690909090909095,52.6,16.6,41.69916666666666,53.2,39.5,50.1197,57.299
7,1555,31.4,39.730000000000004,47.8,30.4,39.70375,50.53,27.7,42.009699999999995,55.0
8,1564,30.0,42.25454545454545,52.7,30.2,42.583333333333336,48.9,40.799,47.54983333333333,57.9
9,1566,28.0,35.045454545454554,49.0,17.6,32.654,40.24,23.799,42.17263636363636,50.5
10,1573,30.8,41.36666666666667,48.0,22.399,44.27391666666667,54.09,38.9,46.87475,59.7
11,1584,14.5,38.0,48.0,14.2,39.74125,49.63,22.5,35.92709090909091,55.0
12,1593,30.3,40.8111111111111,48.0,31.3,46.50222222222222,56.32,30.6,43.25427272727272,51.799
13,1594,26.2,36.339999999999996,43.4,14.8,25.232222222222223,31.6,15.0,36.71633333333333,49.5
14,1622,41.3,48.4,59.4,21.0,42.951818181818176,55.0,14.0,52.53807692307692,70.0
15,1624,33.0,35.45555555555555,36.8,27.3,30.08433333333333,35.2,36.7,45.91225,53.0
16,1635,37.3,42.58,52.2,16.0,31.7849,41.8,41.0,49.43322222222222,55.2
17,1638,18.4,26.619999999999997,42.8,14.6,22.648,28.98,15.199,29.349700000000002,40.0
18,1645,32.8,35.5625,40.2,28.799,36.1947,42.2,14.0,40.52177777777777,53.799
19,1647,30.7,41.03333333333333,45.6,37.2,43.589888888888886,47.8,27.799,46.67254545454546,57.4
