,Animal Utilizado,Lactação Utilizada,Animal Alvo,Lactação Alvo,EQM
0,1502,1,1502,2,248.53697924291603
1,1502,1,1502,3,250.38117362478337
2,1502,1,1502,4,228.16251919549765
3,1502,1,1502,5,306.84271762845947
4,1502,1,1503,1,50.35006160320365
5,1502,1,1503,2,278.9348646642025
6,1502,1,1503,3,207.3309034522289
7,1502,1,1503,4,262.50664335406225
8,1502,1,1507,1,44.34242079659969
9,1502,1,1507,2,184.47145992441875
10,1502,1,1507,3,193.50261538758005
11,1502,1,1507,4,239.2388098086663
12,1502,1,1507,5,158.15745294699718
13,1502,1,1511,1,25.858336380015317
14,1502,1,1511,2,161.4645491474544
15,1502,1,1511,3,159.59391108743895
16,1502,1,1511,4,230.45473933125857
17,1502,1,1511,5,15.869936239135757
18,1502,1,1512,1,51.5678277120961
19,1502,1,1512,2,26.620549587033743
20,1502,1,1512,3,44.020706649464266
21,1502,1,1512,4,110.75762462450471
22,1502,1,1512,5,3.961293134249358
23,1502,1,1517,1,174.0620903625585
24,1502,1,1517,2,154.26026401568964
25,1502,1,1517,3,124.43571437797894
26,1502,1,1517,4,120.49297499552965
27,1502,1,1527,1,32.050235479944725
28,1502,1,1527,2,186.11018467347947
29,1502,1,1527,3,166.28062867559618
30,1502,1,1527,4,147.70707738262578
31,1502,1,1555,1,18.34739696169377
32,1502,1,1555,2,79.55278299725369
33,1502,1,1555,3,96.74990577829473
34,1502,1,1555,4,71.48955500206101
35,1502,1,1564,1,33.68144690967115
36,1502,1,1564,2,32.63746824238459
37,1502,1,1564,3,115.98393065528938
38,1502,1,1566,1,70.56993424268234
39,1502,1,1566,2,131.95735870814534
40,1502,1,1566,3,87.09273191143579
41,1502,1,1566,4,11.594710751363564
42,1502,1,1573,1,27.606438753660623
43,1502,1,1573,2,121.36785374386712
44,1502,1,1573,3,113.81303052140376
45,1502,1,1584,1,106.96473605428842
46,1502,1,1584,2,140.76286553906127
47,1502,1,1584,3,220.56043558676492
48,1502,1,1584,4,80.73316842497023
49,1502,1,1593,1,25.3662479879651
50,1502,1,1593,2,150.12234604983811
51,1502,1,1593,3,83.20081559133502
52,1502,1,1593,4,96.2377529441951
53,1502,1,1594,1,21.863977865699457
54,1502,1,1594,2,247.45860900364855
55,1502,1,1594,3,187.51093332628076
56,1502,1,1594,4,75.28975754619582
57,1502,1,1622,1,114.78821945420448
58,1502,1,1622,2,125.53728724469484
59,1502,1,1622,3,402.1413341984566
60,1502,1,1622,4,439.9518737405142
61,1502,1,1624,1,23.21618542229379
62,1502,1,1624,2,93.73556330608422
63,1502,1,1624,3,66.51027906048516
64,1502,1,1635,1,36.887189063932006
65,1502,1,1635,2,195.7815505533016
66,1502,1,1635,3,138.42954689824944
67,1502,1,1638,1,246.62813998899952
68,1502,1,1638,2,332.39855493499374
69,1502,1,1638,3,195.82713258411613
70,1502,1,1638,4,98.15348520027916
71,1502,1,1645,1,30.72076671447505
72,1502,1,1645,2,55.71624535128719
73,1502,1,1645,3,209.16595058753873
74,1502,1,1647,1,14.269132731923403
75,1502,1,1647,2,40.3157984845652
76,1502,1,1647,3,151.4642232167335
77,1502,2,1502,1,212.49078147841863
78,1502,2,1502,3,69.93407896622197
79,1502,2,1502,4,151.8615026758872
80,1502,2,1502,5,79.53483533412657
81,1502,2,1503,1,247.3529048933439
82,1502,2,1503,2,471.93584548363697
83,1502,2,1503,3,392.7035039746441
84,1502,2,1503,4,606.7634031773921
85,1502,2,1507,1,201.02105999447593
86,1502,2,1507,2,355.6127323954653
87,1502,2,1507,3,231.46836935736997
88,1502,2,1507,4,79.88307722195181
89,1502,2,1507,5,892.1824259599368
90,1502,2,1511,1,221.76542331624873
91,1502,2,1511,2,118.83555115248454
92,1502,2,1511,3,41.25517203646321
93,1502,2,1511,4,125.53891170785217
94,1502,2,1511,5,173.25582083224293
95,1502,2,1512,1,158.85894089051263
96,1502,2,1512,2,123.73484586329938
97,1502,2,1512,3,54.25630014762175
98,1502,2,1512,4,39.31318269231039
99,1502,2,1512,5,135.95223384018792
100,1502,2,1517,1,174.6932248297234
101,1502,2,1517,2,101.01736255658263
102,1502,2,1517,3,116.36191622189638
103,1502,2,1517,4,65.50810839053547
104,1502,2,1527,1,236.25705376426114
105,1502,2,1527,2,149.74611194604688
106,1502,2,1527,3,273.4367772056063
107,1502,2,1527,4,22.744465713758725
108,1502,2,1555,1,194.28066805212865
109,1502,2,1555,2,70.54938870888252
110,1502,2,1555,3,161.57046249381014
111,1502,2,1555,4,306.70357951715766
112,1502,2,1564,1,326.59214544507245
113,1502,2,1564,2,200.6096038617486
114,1502,2,1564,3,431.38597812977645
115,1502,2,1566,1,158.31127386790237
116,1502,2,1566,2,81.4915598601224
117,1502,2,1566,3,112.82872486534704
118,1502,2,1566,4,79.74697825141136
119,1502,2,1573,1,288.9629458989626
120,1502,2,1573,2,255.14720081676515
121,1502,2,1573,3,169.77519773498673
122,1502,2,1584,1,176.81003500689104
123,1502,2,1584,2,64.49463286504196
124,1502,2,1584,3,98.34467998845483
125,1502,2,1584,4,355.5107384948222
126,1502,2,1593,1,193.3041316994523
127,1502,2,1593,2,131.57733997653224
128,1502,2,1593,3,41.56197231302474
129,1502,2,1593,4,103.12739101051373
130,1502,2,1594,1,209.35187081458943
131,1502,2,1594,2,201.22615630665234
132,1502,2,1594,3,76.49344135967424
133,1502,2,1594,4,30.717269518368226
134,1502,2,1622,1,241.76142965914516
135,1502,2,1622,2,446.1636180138714
136,1502,2,1622,3,516.4347149958005
137,1502,2,1622,4,627.2145586296814
138,1502,2,1624,1,100.15066348360408
139,1502,2,1624,2,155.9153692422735
140,1502,2,1624,3,203.7799312242051
141,1502,2,1635,1,190.12310335927302
142,1502,2,1635,2,64.00142858035636
143,1502,2,1635,3,345.83406413771417
144,1502,2,1638,1,283.65453675866127
145,1502,2,1638,2,235.96190267347342
146,1502,2,1638,3,43.008865164942755
147,1502,2,1638,4,535.3764575258297
148,1502,2,1645,1,59.43853694372851
149,1502,2,1645,2,82.2784434660805
150,1502,2,1645,3,67.26917824110201
151,1502,2,1647,1,218.48327123617082
152,1502,2,1647,2,142.22627992790683
153,1502,2,1647,3,248.43377248711352
154,1502,3,1502,1,294.0433301058754
155,1502,3,1502,2,90.67888496116615
156,1502,3,1502,4,90.8604615411185
157,1502,3,1502,5,195.81907842486183
158,1502,3,1503,1,292.88886837732326
159,1502,3,1503,2,265.5081292605106
160,1502,3,1503,3,206.49008274352127
161,1502,3,1503,4,370.2207813696617
162,1502,3,1507,1,278.7572993990083
163,1502,3,1507,2,225.2929092694487
164,1502,3,1507,3,155.1830648040476
165,1502,3,1507,4,116.80068198413099
166,1502,3,1507,5,1530.3088527875848
167,1502,3,1511,1,396.9871074542868
168,1502,3,1511,2,73.08529431048532
169,1502,3,1511,3,70.27368122718963
170,1502,3,1511,4,20.62977459918021
171,1502,3,1511,5,487.2050013231609
172,1502,3,1512,1,326.00708691617353
173,1502,3,1512,2,172.34314855824547
174,1502,3,1512,3,122.43419993389246
175,1502,3,1512,4,125.37670197824667
176,1502,3,1512,5,423.87917924553557
177,1502,3,1517,1,359.5714557746851
178,1502,3,1517,2,247.82843907164587
179,1502,3,1517,3,217.31119488073392
180,1502,3,1517,4,158.14391361608045
181,1502,3,1527,1,275.6918341735875
182,1502,3,1527,2,80.14871828840178
183,1502,3,1527,3,114.81882568232416
184,1502,3,1527,4,195.50339783036648
185,1502,3,1555,1,268.08884877739433
186,1502,3,1555,2,96.88312685121896
187,1502,3,1555,3,108.26932021130375
188,1502,3,1555,4,683.9269939152906
189,1502,3,1564,1,304.20237275112703
190,1502,3,1564,2,185.4157395306307
191,1502,3,1564,3,280.8457329790281
192,1502,3,1566,1,253.38324830893055
193,1502,3,1566,2,216.36001177039776
194,1502,3,1566,3,75.85039591846297
195,1502,3,1566,4,313.4126792445908
196,1502,3,1573,1,266.37622342945707
197,1502,3,1573,2,130.310312418554
198,1502,3,1573,3,109.86665789229824
199,1502,3,1584,1,294.80264505464595
200,1502,3,1584,2,113.83521114234892
201,1502,3,1584,3,165.9548650945744
202,1502,3,1584,4,760.5196991854846
203,1502,3,1593,1,275.9360667336812
204,1502,3,1593,2,74.66864525828697
205,1502,3,1593,3,40.770013662484146
206,1502,3,1593,4,243.23618294186556
207,1502,3,1594,1,339.90489363143473
208,1502,3,1594,2,451.493272752148
209,1502,3,1594,3,139.35473265065653
210,1502,3,1594,4,191.22265647914824
211,1502,3,1622,1,171.09940117833568
212,1502,3,1622,2,418.93287713509875
213,1502,3,1622,3,286.5813867987331
214,1502,3,1622,4,836.1557075485513
215,1502,3,1624,1,201.78295463997904
216,1502,3,1624,2,346.2059972042333
217,1502,3,1624,3,199.59463898998328
218,1502,3,1635,1,190.03446762815463
219,1502,3,1635,2,173.58947491395134
220,1502,3,1635,3,182.9460411216232
221,1502,3,1638,1,563.7007185011622
222,1502,3,1638,2,520.487440187346
223,1502,3,1638,3,174.0758138247487
224,1502,3,1638,4,1029.2462498453835
225,1502,3,1645,1,153.56594599601104
226,1502,3,1645,2,130.55047547202193
227,1502,3,1645,3,59.967301147106696
228,1502,3,1647,1,218.83114301928927
229,1502,3,1647,2,97.75727105338015
230,1502,3,1647,3,135.09599330530907
231,1502,4,1502,1,211.74698862804314
232,1502,4,1502,2,106.41265890539266
233,1502,4,1502,3,24.63666158729506
234,1502,4,1502,5,112.43885549205439
235,1502,4,1503,1,198.48066090455072
236,1502,4,1503,2,186.92080221765667
237,1502,4,1503,3,116.9955398659945
238,1502,4,1503,4,258.55814219178126
239,1502,4,1507,1,196.36494581187657
240,1502,4,1507,2,134.13048774033538
241,1502,4,1507,3,112.97221966588248
242,1502,4,1507,4,130.41316724055747
243,1502,4,1507,5,1217.4005977700435
244,1502,4,1511,1,309.1160036355891
245,1502,4,1511,2,45.43826936004463
246,1502,4,1511,3,64.63858890987756
247,1502,4,1511,4,21.560967472163654
248,1502,4,1511,5,355.05840445547574
249,1502,4,1512,1,273.1058731722937
250,1502,4,1512,2,121.15496262734715
251,1502,4,1512,3,88.79108690522563
252,1502,4,1512,4,102.22699881793093
253,1502,4,1512,5,299.4825199113383
254,1502,4,1517,1,329.6585163385133
255,1502,4,1517,2,228.4534509714173
256,1502,4,1517,3,186.59843522541468
257,1502,4,1517,4,140.157974111716
258,1502,4,1527,1,190.85596651131092
259,1502,4,1527,2,46.426689251265714
260,1502,4,1527,3,66.7977054617656
261,1502,4,1527,4,97.54901335654957
262,1502,4,1555,1,186.89623207731643
263,1502,4,1555,2,68.68106517793612
264,1502,4,1555,3,56.6454478853526
265,1502,4,1555,4,573.4133190703848
266,1502,4,1564,1,197.94468527754216
267,1502,4,1564,2,121.63065439252517
268,1502,4,1564,3,146.5480261033192
269,1502,4,1566,1,193.96311010950083
270,1502,4,1566,2,195.8786894936999
271,1502,4,1566,3,46.545067108304174
272,1502,4,1566,4,216.6323446815542
273,1502,4,1573,1,158.81770022358282
274,1502,4,1573,2,56.22862091479075
275,1502,4,1573,3,62.83121058423655
276,1502,4,1584,1,237.41401870460447
277,1502,4,1584,2,101.59721917344557
278,1502,4,1584,3,156.56627985470485
279,1502,4,1584,4,573.3235673331935
280,1502,4,1593,1,194.2152685107954
281,1502,4,1593,2,47.14318981306385
282,1502,4,1593,3,24.581736004803037
283,1502,4,1593,4,165.56058996883064
284,1502,4,1594,1,256.50926142216935
285,1502,4,1594,2,436.5746210742424
286,1502,4,1594,3,121.8475877921347
287,1502,4,1594,4,112.8215684464214
288,1502,4,1622,1,106.59463954894699
289,1502,4,1622,2,304.59977815081317
290,1502,4,1622,3,226.8646136243288
291,1502,4,1622,4,698.6456530074371
292,1502,4,1624,1,156.88893752754316
293,1502,4,1624,2,306.2381005132093
294,1502,4,1624,3,131.2315785017546
295,1502,4,1635,1,117.6142435087404
296,1502,4,1635,2,166.21636959039003
297,1502,4,1635,3,101.41841171072848
298,1502,4,1638,1,510.49129198997406
299,1502,4,1638,2,511.97586321150465
300,1502,4,1638,3,190.76532927688467
301,1502,4,1638,4,833.359190675342
302,1502,4,1645,1,127.6386122434888
303,1502,4,1645,2,99.5936240638737
304,1502,4,1645,3,57.74430228535866
305,1502,4,1647,1,144.0241745408462
306,1502,4,1647,2,52.88048591690434
307,1502,4,1647,3,61.52476871467341
308,1502,5,1502,1,6420.695351473918
309,1502,5,1502,2,9513.499322820031
310,1502,5,1502,3,9796.110786278905
311,1502,5,1502,4,5724.569134874996
312,1502,5,1503,1,9440.735144132646
313,1502,5,1503,2,5933.657673469384
314,1502,5,1503,3,10585.334986037096
315,1502,5,1503,4,6915.997139984687
316,1502,5,1507,1,5100.763094706629
317,1502,5,1507,2,9620.287248822598
318,1502,5,1507,3,6907.469364081628
319,1502,5,1507,4,7063.811744193873
320,1502,5,1507,5,946.7614795918366
321,1502,5,1511,1,5566.059523278058
322,1502,5,1511,2,5674.346388888884
323,1502,5,1511,3,8132.631195406117
324,1502,5,1511,4,7393.0903181904705
325,1502,5,1511,5,889.0586224489793
326,1502,5,1512,1,7279.775648915813
327,1502,5,1512,2,6551.671970663261
328,1502,5,1512,3,6919.144705272104
329,1502,5,1512,4,9285.603439621309
330,1502,5,1512,5,785.9182270408157
331,1502,5,1517,1,11525.877521683666
332,1502,5,1517,2,10970.447941326522
333,1502,5,1517,3,12187.795838212236
334,1502,5,1517,4,7960.177130862239
335,1502,5,1527,1,7649.732897727267
336,1502,5,1527,2,11596.5338552721
337,1502,5,1527,3,6721.732289505663
338,1502,5,1527,4,41.372461734693964
339,1502,5,1555,1,6142.994168367343
340,1502,5,1555,2,7830.675732397954
341,1502,5,1555,3,8718.083805551014
342,1502,5,1555,4,2495.8160377346935
343,1502,5,1564,1,8375.456163033388
