,Animal Utilizado,EQM
0,"(1503,)",55.55283454595578
1,"(1584,)",58.22795315085309
2,"(1527,)",60.15588288941856
3,"(1502,)",60.4810939203109
4,"(1594,)",62.717519374643
5,"(1555,)",63.553944883266276
6,"(1624,)",64.82030491497567
7,"(1566,)",66.86819527030197
8,"(1573,)",67.87103281839997
9,"(1647,)",68.06741740982832
10,"(1511,)",69.59902994581311
11,"(1645,)",71.43251405279585
12,"(1507,)",73.3316992132363
13,"(1564,)",74.9492911462137
14,"(1593,)",78.72959873793435
15,"(1635,)",80.43253050606872
16,"(1512,)",85.36526156554248
17,"(1517,)",174.06622722014234
18,"(1622,)",176.08277914925907
19,"(1638,)",215.3869637129888
